ID,Central
0,วัน นี้ มี ประ ชุม หัว หน้า บอก ว่า ต้อง เข้า ทุก คน ท่าน มี เรื่อง สํา คัญ จะ ประ กาศ
1,ยาย พิศ เขา เป็น คน ดี นุ่ง ขาว ห่ม ขาว เข้า วัด อยู่ อย่า เห็น บ่อย เวลา ไป วัด ตอน วัน พระ
2,แฟชั่น แบบ ไทย ไทย เรา พอ นาง แบบ เดิน ออก มา คน เขา ก็ ดู ที่ หน้า ตา ก่อน เสื้อ ผ้า มา อัน ดับ สอง
3,หนู ว่า จะ ไป รับ ช้าง ขาย ของ ที่ ตลาด เย็น จะ ได้ ช่วย พี่ หา เงิน บ้าง ดี ไหม
4,ไม่ ว่า ผู้ หญิง ไม่ ว่า ผู้ ชาย ตอน นี้ ขี่ รถ กัน เปล่าน ปาด โทะ ขี่ ไป เป็น พวก พล่าน ได้ พัด กัน สัก วัน น่ะ
5,บาง คน ไป ใช้ บริการ ของ โรง แรม ห้า ดาว ก็ ชอบ ที่ จะ หา ร่อย ฟ้อง ร้อง เอา แต่ เสีย หาย อะ ไร ให้ ได้ บ้าง น่ะ
6,ช่วง เดือน แปด เข้า เดือน เก้า เหนือ ที่ วัด เจดีย์ หลวง ท่าน มี งาน ใส่ ขัน ดอก อินทขีล เรา ไป เที่ยว กัน สัก หน่อย นะ
7,ไป ไหว้ ป้า ละ ยัง รีบ ไป ไหว้ เผื่อ ป้า ให้ เงิน ซัก ร้อย สอง ร้อย เป็น ค่า ขนม
8,แม่ ไม่ ค่อย จะ ได้ อยู่ บ้าน นะ ช่วง นี้ ของ ผ้า ของ ผ้า ดูน เต็ม ซ้า หมด ลูก สัก ให้ แม่ หน่อย นะ
9,มัคนายก หา งาน นี้ ก็ เหนื่อย พอ ประ มาณ แล้ว ยัง ต้อง มา หา ที่ อยู่ อีก จะ เอา อ้วก ถูก ถูก มัน ก็ อยู่ ไกล ที่ อยู่ ใกล้ มัน ก็ แพง
10,พี่ พี่ พรุ่ง นี้ พี่ จะ ไป ไหน ไหม น้อง ว่า จะ ขอ ไป ส่ง ซื้อ ของ ที่ ตลาด วโรรส หน่อย นะ
11,ดอย สุเทพ นี้ มี แต่ โค้ง เนอะ ขับ รถ ขึ้น มา ได้ ไม่ นาน ก็ มัว เราะ ช้น แล้ว ล่ะ
12,อยาก ไป กระ ปลา ที่ น้ํา เหมือง ริม ทุ่ง นา ใคร อยาก ไป กับ ข้า บ้าง เดี๋ยว อีก เดี๋ยว ข้า จะ เลี้ยง ข้าว
13,เธอ อย่า มา ช้อง ฉัน นะ ฉัน รู้ นะ ว่า เมื่อ คืน เธอ ไป เที่ยว ที่ ไหน เธอ ฉัน หลอก ทํา ไม เธอ
14,วัน ซืน แม่ นั่ง ดู ที วี เห็น เขา ลง ข่าว วัด บ้าน เรา ด้วย นะ อีก นิด คน คง จะ มา เที่ยว หลาย
15,ก็ อยาก จะ มี เหมือน กัน แฟน อะ แต่ มัน หา ไม่ ได้ น่า สิ สมัย นี้ ผู้ ชาย ยาก มาก
16,ลูก ต้อง ตั้ง ใจ เรียน เยอะ เยอะ นะ ใหญ่ มา จะ ได้ ไป ทํา งาน ที่ ดี ดี มี หน้า มี ตา อยู่ ใน สัง คม กับ เขา บ้าง
17,เด็ก เมื่อ วาน ก่อน ซืน นี้ เฉย เฉย มาก จริง จริง เขา บอก ว่า อะ ไร ให้ ก็ ไม่ ฟัง
18,เมื่อ คืน พ่อ หวาม หา ผ้า ห่ม ไม่ เจอ ก็ เลย นอน สั่น ทั้ง คืน ดิ้น แบบ ไร ก็ ไม่ นอน
19,จะ ว่า ไป เรา ไม่ เห็น พี่ คํา เลย นะ ตั้ง แต่ เขา แต่ง งาน ใหม่ ก็ หาย หน้า หาย ตา ไป เลย
20,อย่า พูด กัน เสียง ดัง สิ เดี๋ยว ครู จะ เข้า มา ด่า เอา นะ ฉัน ไม่ อยาก ได้ ยิน ครู ด่า
21,กิน ข้าว ก็ กิน ให้ มัน ดี ดี จะ ไป กิน ไป ด้วย เล่น โทรศัพ ไป ด้วย มัน จะ หย้าม
22,หลวง คืน นี้ ลุง ขอ มา นอน ที่ วัด นะ ลุง จัย คู่ ลุง เค้า ไม่ ให้ นอน ด้วย เพราะ ว่า ลุง ลืม เอา เงิน มา รอม เมื่อ วาน
23,ขอ แม่ นั่ง เงิน หลัง ซัก หน่อย สิ เดิน มา ไกล นัก มาก ปวด แข้ง เจ็บ ขา ไป หมด ละ
24,เมื่อ วาน ไป ทํา บัตร ประ ชา ชน ใหม่ อะ ไร ก็ เอ็ง ไป หน่อย เดี๋ยว ก็ ได้ บัตร ละ เสีย อย่าง เดี๋ยว เจ้า หน้า ที่ สะ กด ชื่อ ภา ษา อังกียว เรา ผิด
25,น้อง จา ทํา ไม โต ไว ไม่ ได้ เจอ กัน นาน มาก มาก ใหญ่ ส้ม วย ออก ไป ทาง แม่ เนอะ
26,เพื่อน ของ เรา มัน หุม ตี ไก่ มาก เลย ตอน นี้ ไป ดู มัน สิ เปล่า กาย ลง ไหน ลง นั่น เพราะ บาป ที่ มัน ไป ตี ไก่ นั้น นะ
27,เชียง ดาว มี ที่ เที่ยว ที่ ไหน บ้าง เรา เห็น คน ไป เที่ยว มาก อยาก ลอง ไป เที่ยว ดู ซัก ที
28,ขับ มา ถึง แยก นี้ แล้ว ก็ เลี้ยว ซ้าย ตรง ไป อีก นิด เจอ ซอย ข้าง ขวา มือ ก็ เลี้ยว เข้า ซอย เลย
29,ครู ที่ โรง เรียน โทร มา หา บอก ให้ เธอ เอา หนัง สือ ไป ส่ง ให้ ลูก หน่อย นะ
30,เรา ว่า เรา ทุกข์ ดู ราย การ ใน โทรทัศน์ เขา ยิ่ง ทุกข์ กว่า เรา บ้าง ไม่ มี ที่ อยู่ บ้าง ไม่ มี เข้า กิน
31,อา หาร เมือง ที่ พวก คน กรุง เทพ คน ที่ อื่น เขา รู้ จัก ก็ มี แต่ เข้า ซอย แกง รัง เล น้ํา พริก หนุ่ม เท่า นั้น นะ มั้ย
32,เมื่อ วาน นี้ เห็น เขา ว่า มี แขก ใหญ่ โต มา กิน ข้าว เงิน บน ห้าง วัน นี้ ใต้ ห้าง ก็ เลย เหลี้ยม มาบ มาบ
33,เมื่อ ไหร่ ก็ บ่น ว่า ไม่ มี เงิน ก็ เธอ ไม่ ไป ทํา งาน ไหน สัก ที่ จะ มี เงิน กับ เขา เหรอ
34,วัน พรุ่ง นี้ นะ ไป ซื้อ ฟัน ที่ ตลาด วัว ให้ แม่ หน่อย นะ วัน พรุ่ง นี้ เขา จะ เกิน วัว เอา มา เยอะ เยอะ นะ
