ID,Northern,Central
0,มะ ใด จะ เตี้ยง ใคร่ อยาก กิ๋น เข้า เข้า เจ๊า วัน นี้ ก่อ บ่า ได้ กิ๋น ลุก ขวาย บ่า ตัน กิ๋น,เมื่อ ไหร่ จะ เที่ยง หิว ข้าว ข้าว เช้า วัน นี้ ก็ ไม่ ได้ กิน ตื่น สาย ไม่ ทัน กิน
1,กิ๋น น้ำ นัก นัก เน้อ ไป ดี กิ๋น น้ำ น้อย บ่า อั้น ตั๋ว จะ ปาก เป๋น ขาง เน้อ แสบ ขนาด อยู่ บ่า ใจ้ ม่วน,ดื่ม น้ำ เยอะ เยอะ นะ อย่า ดื่ม น้ำ น้อย ไม่ งั้น ปาก ตัว จะ เป็น แผล ร้อน ใน นะ แสบ มาก จน อยู่ ไม่ เป็น สุข เลย
2,ใน วัน ปาก ปี๋ จะ เอา บะ หนุน มา เยียะ กิ๋น เปิ้น เจื้อ ว่า จะ จ้วย ก๊ำ จู อุด หนุน,ใน วัน ปาก ปี จะ นำ ขนุน มา ทำ อา หาร โบ ราณ เชื่อ ว่า จะ ช่วย ค้ำ ชู อุด หนุน
3,เอา จะ ใด ดี วัน พูก ครู หื้อ ส่ง ก๋าน บ้าน แล้ว กลั๋ว จะ เยี่ย บ่า แล้ว คืน นี้ เหลือ แหม เป๋น สิบ ข้อ,เอา ยัง ไง ดี วัน พรุ่ง นี้ ครู ให้ ส่ง การ บ้าน แล้ว กลัว จะ ทำ ไม่ เสร็จ ยัง เหลือ อีก ตั้ง สิบ ข้อ
4,วัน พูก เดือน สิบ สอง เป็ง แม่ จะ แก๋ง ปี๋ ต๋าน กับ จิ๊น ทอด จะ ตาน กั๊วะ เข้า ไป หา อุ๊ย,พรุ่ง นี้ ตรง กับ วัน สารท เดือน สิบ แม่ จะ แกง หัว ตาล กับ หมู ทอด เพื่อ ถวาย ทาน อุทิศ ไป หา ตา
5,ตะ วา น้อง ฮัม ฝน ปิ๊ก บ้าน มา น้อง เปี๊ยะ ไป หมด เลย จ้อง ก่อ บ่ มี กั๋ว เป๋น เมื่อย แหม เนี่ย,เมื่อ วาน หนู ตาก ฝน กลับ บ้าน มา น้อง เปียก ไป หมด เลย ร่ม ก็ ไม่ มี กลัว เป็น หวัด อีก
6,ตะ วา ไป งาน แต่ง ลูก น้อง ที่ บริษัท เป๋น ป้อ จาย ตึง กู้ อา ยุ ห่าง กั๋น เกือบ ซาว ปี๋ จั๊ด งาน ได้ เหมาะ ขนาด เปิ้น ก็ จ่าง เซาะ หา กั๋น ป๊ะ เนาะ,เมื่อ วาน ไป งาน แต่ง งาน ลูก น้อง ที่ บริษัท เป็น ผู้ ชาย ทั้ง คู่ อา ยุ ห่าง กัน เกือบ ยี่ สิบ ปี จัด งาน ได้ ดี มาก เขา ก็ ตาม หา กัน จน เจอ เนาะ
7,ยาย พัน ตี้ ขาย ห่อ หนึ้ง ไก่ หน้า วัด นี้ แป๋ง กับ ข้าว ลำ เน่อ วัน ศีล มะ ใด ขาย หมด ก่อน เปิ้น,ยาย พัน ที่ ขาย ห่อ นึ่ง ไก่ ที่ หน้า ทำ อา หาร อร่อย นะ วัน พระ เมื่อ ไหร่ ขาย อา หาร หมด ก่อน คน อื่น เขา
8,มี ตี้ ไหน เปิ้น หื้อ เอา แม่ ญ่า แม่ ญิง กำ ขัน ดอก ขึ้น ไป ไหว้ ไป สา ตี้ บน พระ ธาตุ บ่า มี ใผ เยียะ เน้อ จะ นี้ นะ,มี ที่ ไหน บ้าง ให้ ผู้ หญิง ถือ พาน ดอก ไม้ ธูป เทียน ขึ้น ไป ไหว้ บน พระ เจดีย์ พระ ธาตุ ไม่ มี ใคร ทำ นะ แบบ นี้
9,วัน ติ๊ด นี้ ว่าง กั๋น ก่อ สู เฮา ว่า จะ ไป ผ่อ หมอ วัด มณ เตียร หนิ ตุ๊ เปิ้น ตฺวาย แม่น ขนาด,วัน อาทิตย์ นี้ ว่าง กัน ไหม พวก เธอ ฉัน ว่า จะ ไป ดู ดวง ที่ วัด มน เทียร เนี่ย พระ ท่าน ทำ นาย แม่น มาก
10,จะ ปิ้ก บ้าน มะ ใด แม่ คะ เติง หา ลูก ขนาด บ่า ได้ ปะ ลูก เมิน นาน ละ เน้อ,จะ กลับ บ้าน เมื่อ ไหร่ แม่ คิด ถึง ลูก มาก ไม่ ได้ เจอ ลูก นาน มาก แล้ว นะ
11,ตะ วา ป้อ ไป จ่อม ป๋า ตี้ น้ำ ปิง มา ได้ ป๋า นัก ขนาด ยะ หยัง กิน ได้ เป๋น หลาย วัน เลย,เมื่อ วาน พ่อ ไป ตก ปลา ที่ น้ำ ปิง มา ได้ ปลา มา เยอะ มาก มาก ทำ กับ ข้าว ได้ หลาย วัน เลย
12,ย้อน ฝน ต๊ก นัก ตะ คืน น้ำ ห้วย ไหล จฺวาก จฺวาก ผัก ไม้ ไส้ หญ้า ต๋าม ต๋า ฝั่ง โดน น้ำ ปั้ด หาย ไป มด,เพราะ ฝน ตก หนัก เมื่อ คืน น้ำ ใน ลำ ห้วย ไหล บ่า อย่าง หนัก พวก ผัก พวก หญ้า ตาม ตลิ่ง ถูก น้ำ พัด หาย ไป หมด
13,สวัสดี เจ้า อ้าย มา ติด ต่อ หยัง กา เจ้า มา สมัคร งาน แม่น ก่อ อ้าย ขึ้น ไป ติด ต่อ ตี้ จั๊น สอง เลย เน่อ,สวัสดี ค่ะ พี่ มา ติด ต่อ อะ ไร หรอ คะ มา สมัคร งาน ใช่ ไหม พี่ ขึ้น ไป ติด ต่อ ที่ ชั้น สอง เลย นะ
14,วัน ฮือ โฮง เฮียน อี่ หล้า จะ เปิด แล้ว แหม พูก กะ ต้อง ไป ซื้อ ชุด นัก เฮียน เกียม ไว้ หื้อ มัน,วัน มะ รืน โรง เรียน ลูก สาว จะ เปิด แล้ว วัน พรุ่ง นี้ ก็ ต้อง ไป ซื้อ ชุด นัก เรียน เตรียม ไว้ ให้ มัน
15,จะ ไป อู้ นัก ได้ ก่อ ใคร่ จ้วย ก่อ จ้วย บ่า ใคร่ จ้วย ก่อ ไป ตี้ อื่น บ่า ต้อง มา ยืน ปาก ต๋าม หมู่ นี้,หยุด พูด มาก ได้ มั้ย อยาก ช่วย ก็ ช่วย ไม่ อยาก ช่วย ก็ ไป ที่ อื่น ไม่ ต้อง มา ยืน พล่าม แถว นี้
16,เมื่อ คืน แล้ว ฝน ปอ บ่ ตก สัก หน้อย ลม ก่อ ปอ บ่ ปั๊ด กำ แล้ว ฮ้อน ใบ้ ฮ้อน ง่าว,กลาง คืน ที่ ผ่าน มา ฝน แทบ จะ ไม่ ตก ลม แทบ จะ ไม่ พัด ร้อน มาก มาก
17,สู เขา วัน นี้ ว่าง กั๋น ก่อ หา ว่า จะ จวน ไป แอ่ว วัด ต้น เกว๋น หนะ หัน ว่า แลง นี้ ตี้ วัด มี ประ กวด ฟ้อน เล็บ,พวก เธอ วัน นี้ ว่าง กัน ไหม ว่า จะ ชวน ไป เที่ยว วัด ต้น เกว๋น เห็น ว่า เย็น นี้ ที่ วัด มี การ ประ กวด ฟ้อน เล็บ
18,ขอ ฝาก โตย เน้อ คับ เข้า คู หา ก๋า เบอร์ สอง ทุก นโยบาย เยี่ย ได้ แต้ เพื่อ จาว บ้าน เฮา คับ,ขอ ฝาก ด้วย นะ ครับ เข้า คู หา กา เบอร์ สอง ทุก นโยบาย ทำ ได้ จริง เพื่อ ชาว บ้าน เรา ครับ
19,นั่ง กั๋น หนี้ สี่ ห้า คน ใผ ลุก ก่อน คน นั้น ระ วัง โดน เล่า ขวัน เน้อ,นั่ง กัน อยู่ สี่ ห้า คน ใคร หนี ไป ก่อน คน นั้น ระ วัง ถูก นินทา นะ
20,ละ อ่อน หมู่ นี้ มะ ตอน ฮ้อน ฮ้อน ก่อ ชอบ ไป เล่น ไป ล่น จ๋น หน้า ดำ หน้า แดง ตึง บ่ ฮู้ จัก อิ๊ด จัก อ่อน พ่อง ก่า เนี่ย,เด็ก พวก นี้ กลาง วัน ร้อน ร้อน ก็ ชอบ ไป เล่น ไป วิ่ง จน หน้า ดำ หน้า แดง ไม่ รู้ จัก เหนื่อย อ่อน บ้าง เลย หรือ ไง
21,อิ น้อง เป๋น สาว บ้าน ใด นี่ ผ่อ เลาะ ขาว จ๊อด ล้อด แข้ง ก่อ หน้อย ฮ่าง ก่อ บาง งาม ล้ำ เหลือ,น้อง คน นี้ บ้าน อยู่ ไหน เนี่ย ดู สิ ผิว ก็ ขาว ขา ก็ เล็ก หุ่น ก็ บาง สวย มาก เลย
22,ต๋อน ไป แอ่ว ฝรั่งเศส ได้ ขึ้น หอ ไอเฟล ตวย สูง ขนาด เฮา ผ่อ ลง มา แข้ง ปอ สั่น หย้ก หย้ก,ตอน ไป เที่ยว ฝรั่งเศส ได้ ขึ้น หอ ไอเฟล ด้วย สูง มาก เรา มอง ลง มา แข้ง ขา สั่น ไป หมด
23,แม่ วัน พูก ครู บอก หื้อ เกียม เสื้อ ผ้า ไป เปลี่ยน แหม ชุด โตย แม่ พับ ใส่ กระ เป๋า ไว้ หื้อ กำ เน้อ,แม่ วัน พรุ่ง นี้ ครู บอก ให้ เตรียม เสื้อ ผ้า ไป เปลี่ยน อีก ชุด ด้วย แม่ พับ ใส่ กระ เป๋า ไว้ ให้ หน่อย นะ
24,วัน นี้ ข้า ปา อี่ หน้อย มัน ไป แอ่ว กาด ป๊ะ ใส่ เปิ้น ขาย ขนม ก๋ง ว่า จะ ซื้อ หื้อ มัน มัน ซ้ำ ว่า บ่ มัก ละ อ่อน สมัย นี้ ตึง กิ๋น หยัง ยาก แต้ ละ,วัน นี้ ฉัน พา ลูก ไป เดิน ตลาด เจอ เขา ขาย ขนม กง กะ ว่า จะ ซื้อ ให้ มัน มัน ก็ บอก ว่า ไม่ ชอบ กิน เด็ก สมัย นี้ กิน อะ ไร ยาก จริง จริง
25,เอ เตี่ยว สะ ดอ นี่ อย่าง ใด นิ นุ่ง ไป ก็ หฺลฺว่าย ออก มาย ออก มัด จะ ใด กะ แล้ว เตียว ไป สัก กำ หฺลฺวะ มา ก๋อง ตี้ ตี๋น เหีย,เอ กาง เกง สะ ดอ นี่ มัน ยัง ไง กัน นะ นุ่ง นุ่ง ไป ก็ หลวม ก็ คลาย ออก มัด อย่าง ไหน ก็ แล้ว เดิน ไป สัก เดี๋ยว ร่วง มา กอง ที่ เท้า ซะ งั้น
26,วัด ดอย ที่ เกย หัน ถี่ ต๋อน นี้ บ่ มี ละ ผ่อ ไป ตาง ใด ก็ มี ต่า ตึก สูง สูง ลับ บัง ไป เหีย หมด,วัด ดอย สุเทพ ที่ เคย เห็น ชัด ตอน นี้ ไม่ มี ละ มอง ไป ทาง ไหน ก็ มี แต่ ตึก สูง สูง บัง ลับ ไป เสีย หมด
